name,online_order,book_table,rate,votes,approx_cost(for two people),listed_in(type)
59,True,True,4.1,775,800,0
113,True,False,4.1,787,800,0
107,True,False,3.8,918,800,0
2,False,False,3.7,88,300,0
52,False,False,3.8,166,600,0
135,True,False,3.8,286,600,0
104,False,False,3.6,8,800,0
92,True,True,4.6,2556,600,1
96,True,False,4.0,324,700,3
110,True,False,4.2,504,550,1
140,True,False,4.1,402,500,1
19,True,True,4.2,150,600,1
132,True,True,4.2,164,500,1
17,False,False,4.0,424,450,1
107,True,False,3.8,918,800,1
20,True,False,3.8,90,650,1
24,True,False,3.9,133,800,1
70,True,False,3.8,144,700,1
126,False,False,3.9,93,300,1
0,True,False,3.1,13,400,1
134,True,False,3.0,62,400,1
143,True,False,3.7,180,500,1
18,False,False,3.6,28,900,1
85,True,False,3.6,62,600,1
56,False,False,3.7,31,300,1
16,False,False,3.2,11,600,1
32,True,False,3.8,75,200,1
108,False,False,3.3,4,500,1
34,False,False,3.3,23,550,1
119,False,False,3.8,148,550,1
101,True,False,4.0,219,600,1
46,True,False,2.8,506,500,3
124,True,False,3.9,35,500,2
93,True,False,3.9,172,750,2
42,True,False,4.2,415,500,3
11,True,False,3.9,230,650,2
43,True,False,2.8,91,400,2
125,True,False,4.2,1647,600,2
41,True,False,4.4,4884,750,3
79,True,False,4.0,17,150,2
25,True,False,3.8,133,200,2
55,False,False,3.9,28,300,2
80,True,False,3.9,286,500,2
40,True,False,3.9,540,800,2
92,True,True,4.6,2556,600,3
57,False,False,3.8,36,400,2
71,True,False,3.6,244,300,2
100,True,False,4.0,804,450,2
12,True,False,3.7,679,850,2
127,True,False,3.1,245,300,2
98,False,False,3.7,21,450,2
109,True,False,4.1,28,150,2
33,False,False,4.3,345,400,2
14,True,False,4.0,618,750,2
105,False,False,4.0,1047,450,2
48,True,False,3.9,627,450,2
9,True,False,3.8,104,300,2
141,True,True,4.2,354,800,3
44,False,False,3.6,55,200,2
144,True,False,3.7,17,400,2
97,False,False,4.2,244,800,3
51,True,True,3.6,163,800,2
29,True,False,3.8,58,150,2
60,False,True,4.0,808,850,2
22,False,False,3.7,78,150,2
63,True,False,4.1,1720,400,2
86,True,False,3.6,34,100,2
53,False,False,4.1,868,700,2
120,False,False,3.8,39,300,2
15,True,False,3.2,71,600,2
133,True,False,3.6,6,500,2
131,False,False,4.1,520,300,2
114,False,False,4.1,0,150,2
77,False,False,2.9,84,700,3
103,False,False,3.6,299,300,2
91,False,False,3.6,0,500,2
116,True,False,4.1,558,150,2
38,True,False,3.6,28,300,2
72,False,False,3.7,22,500,2
136,False,False,3.8,39,350,2
64,True,False,3.8,153,500,2
49,True,False,4.2,146,400,2
94,False,False,3.5,14,200,2
137,False,False,3.8,42,700,2
28,False,False,3.8,0,100,2
130,False,False,4.0,66,300,2
82,True,False,4.4,4401,600,2
74,False,False,3.5,31,200,2
37,False,False,3.5,7,500,2
27,False,False,3.7,21,250,2
81,False,False,3.7,0,500,2
121,False,False,3.7,0,400,2
5,False,False,3.7,0,200,2
128,False,False,3.2,9,300,2
87,False,False,2.6,283,600,2
138,False,False,3.3,62,800,2
65,False,False,3.8,64,250,2
8,False,False,3.7,39,950,2
26,False,False,3.7,65,300,2
99,True,False,3.8,71,400,2
69,False,False,3.5,52,300,2
78,False,False,3.7,130,200,2
73,False,False,3.5,10,300,2
45,False,False,3.8,45,400,2
16,False,False,3.2,11,600,2
23,False,False,3.5,13,300,2
112,False,False,3.4,8,300,2
31,False,False,3.4,0,250,2
88,False,False,3.2,9,300,2
67,False,False,3.2,4,300,2
54,False,False,3.2,0,200,2
7,False,False,3.1,29,150,2
61,False,False,3.4,8,400,2
39,False,False,3.4,0,150,2
21,False,False,3.4,0,300,2
1,False,False,3.4,0,200,2
142,False,False,3.4,0,150,2
75,False,False,3.4,0,150,2
66,False,False,3.4,0,250,2
62,False,False,3.1,30,900,2
13,True,False,4.1,201,300,2
90,False,False,3.3,7,200,2
30,False,False,3.1,6,100,2
95,False,False,3.3,17,200,2
76,False,False,2.9,25,200,2
111,False,False,2.9,0,400,2
10,False,False,2.9,0,350,2
106,False,False,3.3,8,100,2
84,False,False,3.3,0,150,2
115,False,False,3.4,0,150,2
102,False,False,3.4,0,200,2
47,False,False,3.4,0,100,2
129,False,False,3.1,0,400,2
123,False,False,4.1,0,200,2
68,False,False,3.3,0,150,2
3,False,False,3.1,0,400,2
118,False,False,3.3,0,150,2
58,False,False,2.9,0,250,2
117,False,False,2.9,0,250,2
6,False,False,2.9,0,150,2
36,False,False,3.3,0,200,2
122,False,False,3.3,0,350,2
50,False,False,3.3,0,300,2
83,False,False,3.3,0,100,2
89,False,False,3.3,0,150,2
4,True,False,4.0,771,450,2
35,False,False,3.0,98,800,2
139,True,False,3.9,47,200,2
